TransactionID,Date,Time,CustomerID,Age,Gender,Location,StoreID,OnlineOrderFlag,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,ShippingMethod,DeliveryTime,Weather,Event,CustomerSatisfaction,ReturnFlag,Year,Month,Day,DayName,CalculateRevenue,AgeGroup
1,2020-12-24,7:27:59,441,27,Other,City_15,Online,True,106,Toys_Product,Toys,5,96.78625465,483.9312732,Credit Card,False,0.0,False,Standard,5.0,Snowy,No Events,5,False,2020,12,24,Thursday,483.93127325,Adult
2,2022-11-18,14:36:39,340,43,Male,City_13,Online,True,816,Clothing_Product,Clothing,1,95.27957916,95.27957916,Credit Card,True,0.0,True,Express,3.0,Sunny,No Events,2,True,2022,11,18,Friday,95.27957916,Mid-Age
3,2019-12-26,20:23:50,31,25,Other,City_7,92.0,False,508,Clothing_Product,Clothing,2,52.37164537,104.7432907,Credit Card,False,0.0,False,In-Store,0.0,Rainy,Christmas Market,4,False,2019,12,26,Thursday,104.74329074,Youth
4,2018-11-13,23:08:08,39,64,Male,City_20,100.0,False,710,Toys_Product,Toys,5,63.64729257,318.2364628,Debit Card,False,0.0,True,In-Store,0.0,Rainy,No Events,1,True,2018,11,13,Tuesday,318.23646285,Senior
5,2020-12-13,4:38:08,344,26,Other,City_10,90.0,False,687,Toys_Product,Toys,3,57.38404058,172.1521217,Cash,False,0.0,True,In-Store,0.0,Sunny,Christmas Market,4,False,2020,12,13,Sunday,172.15212173999998,Adult
6,2018-11-26,3:17:17,307,18,Male,City_4,79.0,False,589,Decorations_Product,Decorations,1,81.05898582,81.05898582,Online Payment,True,8.105898582,True,In-Store,0.0,Rainy,Black Friday,3,True,2018,11,26,Monday,81.05898582,Teen
7,2020-12-08,8:26:56,368,63,Female,City_3,Online,True,158,Food_Product,Food,3,48.15754232,144.4726269,Online Payment,False,0.0,True,Express,2.0,Sunny,Christmas Market,3,True,2020,12,8,Tuesday,144.47262695999999,Senior
8,2020-12-03,16:02:24,121,48,Other,City_1,Online,True,829,Clothing_Product,Clothing,3,97.06931545,291.2079463,Cash,True,29.12079463,False,Standard,3.0,Rainy,Black Friday,5,False,2020,12,3,Thursday,291.20794635000004,Mid-Age
9,2020-11-10,14:41:38,464,58,Other,City_19,87.0,False,987,Decorations_Product,Decorations,2,34.14224425,68.28448849,Debit Card,True,6.828448849,False,In-Store,0.0,Snowy,Black Friday,1,False,2020,11,10,Tuesday,68.2844885,Senior
10,2019-11-16,0:08:13,252,41,Female,City_16,54.0,False,470,Clothing_Product,Clothing,1,37.04606705,37.04606705,Debit Card,False,3.704606705,False,In-Store,0.0,Sunny,Black Friday,2,True,2019,11,16,Saturday,37.04606705,Mid-Age
11,2019-12-06,18:02:36,302,50,Female,City_13,47.0,False,670,Toys_Product,Toys,5,91.87703585,459.3851792,Debit Card,False,0.0,False,In-Store,0.0,Rainy,Christmas Market,4,True,2019,12,6,Friday,459.38517924999996,Mid-Age
12,2021-11-11,7:42:19,300,51,Other,City_13,Online,True,755,Decorations_Product,Decorations,1,26.89912172,26.89912172,Online Payment,False,0.0,True,Express,3.0,Sunny,Christmas Market,5,False,2021,11,11,Thursday,26.89912172,Senior
13,2022-11-04,6:54:03,175,20,Male,City_15,Online,True,95,Electronics_Product,Electronics,3,48.97453114,146.9235934,Credit Card,False,14.69235934,False,Express,3.0,Rainy,Black Friday,4,False,2022,11,4,Friday,146.92359342,Youth
14,2020-11-07,19:24:07,417,62,Female,City_5,38.0,False,460,Decorations_Product,Decorations,1,80.48414429,80.48414429,Debit Card,True,0.0,True,In-Store,0.0,Snowy,Christmas Market,4,True,2020,11,7,Saturday,80.48414429,Senior
15,2018-12-28,21:28:34,231,66,Female,City_11,Online,True,609,Electronics_Product,Electronics,3,37.22133377,111.6640013,Debit Card,True,0.0,True,Standard,5.0,Rainy,Christmas Market,3,True,2018,12,28,Friday,111.66400131,Senior
16,2018-12-24,23:42:29,216,51,Male,City_2,Online,True,540,Electronics_Product,Electronics,2,92.89284394,185.7856879,Credit Card,True,0.0,False,Standard,2.0,Sunny,No Events,2,False,2018,12,24,Monday,185.78568788,Senior
17,2019-12-20,7:56:53,447,23,Other,City_17,Online,True,346,Clothing_Product,Clothing,1,47.16863787,47.16863787,Cash,False,0.0,False,Express,3.0,Rainy,Christmas Market,1,True,2019,12,20,Friday,47.16863787,Youth
18,2021-11-11,13:37:18,60,44,Other,City_20,Online,True,488,Toys_Product,Toys,1,91.25614092,91.25614092,Debit Card,False,0.0,False,Express,5.0,Rainy,No Events,1,False,2021,11,11,Thursday,91.25614092,Mid-Age
19,2018-12-13,20:42:36,450,52,Other,City_14,98.0,False,332,Decorations_Product,Decorations,3,20.88022516,62.64067547,Online Payment,True,0.0,True,In-Store,0.0,Rainy,Christmas Market,5,False,2018,12,13,Thursday,62.64067548,Senior
20,2020-12-29,15:39:25,75,52,Female,City_2,69.0,False,267,Toys_Product,Toys,4,82.67500774,330.700031,Credit Card,True,33.0700031,True,In-Store,0.0,Rainy,Black Friday,2,False,2020,12,29,Tuesday,330.70003096,Senior
21,2022-12-24,6:52:48,315,37,Female,City_10,Online,True,722,Decorations_Product,Decorations,2,48.9819344,97.96386881,Debit Card,False,0.0,False,Overnight,3.0,Sunny,Christmas Market,3,True,2022,12,24,Saturday,97.9638688,Mid-Age
22,2018-11-28,10:46:14,295,27,Female,City_3,64.0,False,138,Clothing_Product,Clothing,4,20.70010309,82.80041237,Cash,True,8.280041237,False,In-Store,0.0,Rainy,Black Friday,4,False,2018,11,28,Wednesday,82.80041236,Adult
23,2020-12-27,10:13:37,354,44,Male,City_10,Online,True,526,Food_Product,Food,3,36.72797537,110.1839261,Credit Card,False,11.01839261,True,Standard,5.0,Sunny,Black Friday,2,False,2020,12,27,Sunday,110.18392611000002,Mid-Age
24,2019-11-18,7:53:01,170,27,Female,City_12,61.0,False,521,Electronics_Product,Electronics,3,20.34166296,61.02498889,Online Payment,False,0.0,True,In-Store,0.0,Rainy,No Events,2,True,2019,11,18,Monday,61.02498888,Adult
25,2023-11-30,12:40:35,154,56,Other,City_16,Online,True,251,Clothing_Product,Clothing,3,16.15314336,48.45943008,Credit Card,False,4.845943008,False,Express,5.0,Sunny,Black Friday,3,False,2023,11,30,Thursday,48.459430080000004,Senior
26,2018-12-24,22:31:32,113,18,Male,City_9,30.0,False,648,Decorations_Product,Decorations,2,29.32995627,58.65991254,Credit Card,False,5.865991254,True,In-Store,0.0,Snowy,Black Friday,2,False,2018,12,24,Monday,58.65991254,Teen
27,2021-12-06,8:22:32,19,35,Male,City_20,Online,True,696,Decorations_Product,Decorations,2,41.35014224,82.70028448,Credit Card,True,0.0,False,Overnight,1.0,Snowy,No Events,1,True,2021,12,6,Monday,82.70028448,Adult
28,2019-12-03,4:22:11,52,51,Male,City_6,76.0,False,917,Electronics_Product,Electronics,2,18.30060647,36.60121294,Credit Card,True,3.660121294,True,In-Store,0.0,Rainy,Black Friday,4,True,2019,12,3,Tuesday,36.60121294,Senior
29,2022-12-05,14:51:45,97,55,Other,City_8,Online,True,237,Toys_Product,Toys,4,42.40679013,169.6271605,Credit Card,True,0.0,True,Express,2.0,Snowy,Christmas Market,3,True,2022,12,5,Monday,169.62716052,Senior
30,2021-11-23,6:19:53,163,61,Male,City_9,8.0,False,605,Food_Product,Food,3,55.86502778,167.5950833,Cash,False,16.75950833,False,In-Store,0.0,Snowy,Black Friday,1,False,2021,11,23,Tuesday,167.59508334,Senior
31,2018-12-20,7:34:07,497,54,Other,City_13,38.0,False,866,Decorations_Product,Decorations,2,35.49895959,70.99791918,Cash,True,0.0,False,In-Store,0.0,Sunny,No Events,5,True,2018,12,20,Thursday,70.99791918,Senior
32,2020-12-23,20:20:04,393,41,Female,City_9,Online,True,618,Clothing_Product,Clothing,2,23.48797244,46.97594489,Cash,False,0.0,True,Overnight,1.0,Snowy,Christmas Market,4,True,2020,12,23,Wednesday,46.97594488,Mid-Age
33,2023-12-05,11:05:37,26,54,Other,City_12,Online,True,318,Clothing_Product,Clothing,5,24.39762872,121.9881436,Online Payment,False,12.19881436,True,Overnight,4.0,Sunny,Black Friday,3,True,2023,12,5,Tuesday,121.9881436,Senior
34,2018-11-07,5:25:36,215,24,Male,City_2,73.0,False,427,Decorations_Product,Decorations,5,66.24160918,331.2080459,Cash,False,0.0,True,In-Store,0.0,Sunny,Christmas Market,1,True,2018,11,7,Wednesday,331.2080459,Youth
35,2019-11-15,0:36:50,179,67,Male,City_7,Online,True,813,Clothing_Product,Clothing,1,91.73863572,91.73863572,Credit Card,True,0.0,False,Express,3.0,Rainy,Christmas Market,5,True,2019,11,15,Friday,91.73863572,Senior
36,2018-11-11,8:01:19,377,28,Male,City_9,Online,True,718,Electronics_Product,Electronics,3,20.08620872,60.25862617,Debit Card,True,0.0,False,Express,3.0,Snowy,Christmas Market,1,True,2018,11,11,Sunday,60.25862615999999,Adult
37,2018-12-19,22:23:31,177,69,Other,City_9,Online,True,228,Electronics_Product,Electronics,3,44.43614065,133.308422,Online Payment,True,0.0,False,Standard,5.0,Sunny,Christmas Market,3,True,2018,12,19,Wednesday,133.30842195,Senior
